menu_name,calories,protein_g,fat_g,carbs_g
牛小鉢ベーコンエッグ朝食ミニ,678,27.1,29.7,77.3
牛小鉢ベーコンエッグ朝食並盛,816,29.5,30.1,108.5
牛小鉢ベーコンエッグ朝食大盛,955,31.8,30.6,139.8
ソーセージエッグ朝食ミニ,592,23.4,22.7,75.8
ソーセージエッグ朝食並盛,730,25.8,23.1,107
ソーセージエッグ朝食大盛,869,28.1,23.6,138.3
納豆ソーセージエッグ朝食ミニ,629,26.6,24.2,78.3
納豆ソーセージエッグ朝食並盛,767,29,24.6,109.5
納豆ソーセージエッグ朝食大盛,906,31.3,25.1,140.8
納豆ソーセージエッグ朝食ミニ,696,28.5,30.7,77.6
牛小鉢ソーセージエッグ朝食並盛,834,30.9,31.1,108.8
牛小鉢ソーセージエッグ朝食大盛,973,33.2,31.6,140.1
お子様牛丼,394,13.2,16.7,47.9
お子様チーズ牛丼,442,15.9,19.8,50.4
お子様カレー,275,6.2,3.5,55
お子様チーズカレー,324,8.9,6.6,57.5
お子様とりそぼろ丼,336,21.1,5.6,50.9
すきすきセット（爽健美茶）,19,0,0,5.1
すきすきセット（緑茶）,19,0.5,0,5.1
すきすきセット（黒烏龍茶）,24,0.5,0,5.6
すきすきセット（コーラ）,118,0,0,30
すきすきセット（カルピス）,143,0.5,0.3,35
すきすきセット（ファンタメロン）,129,0,0,32.7
すきすきセット（オレンジジュース）,122,0.5,0.3,29.7
すきすきセット（ぶどうジュース）,111,0.6,0.6,29.1
すきすきセット（りんごジュース）,113,0.2,0.4,27.9
ごはんミニ,277,4.6,1,62.6
ごはん並盛,415,7,1.4,93.8
ごはん大盛,554,9.3,1.9,125
みそ汁,46,2.8,1.7,5.2
とん汁,123,8.5,5.9,9.2
納豆鬼除け汁,180,12.7,8.7,12.7
ホタテ汁,76,7.8,2,7
カレールー 単品,259,6.2,15.4,23.9
おしんこセット,52,3.1,1.7,6.5
3点セット,131,9.9,7.4,6.7
たまごセット,123,9.2,7.3,4.3
冷やっこセット,126,9.7,6.2,8
サラダセット（ドレッシング除く）,65,3.8,1.9,9.4
オクラサラダセット（ドレッシング除く）,75,4.4,1.9,11.7
サラダ（ドレッシング除く）,28,1.5,0.3,5.9
オクラサラダ（ドレッシング除く）,37,2.1,0.3,8.2
シーザーサラダ,81,2.5,6.2,4
レタスブロッコリー 単品,7,0.6,0.1,1.3
おしんこ,13,0.7,0.1,2.3
牛小鉢,111,5.6,8.1,3.9
たまご,84,6.9,5.7,0.2
おんたま,84,6.9,5.7,0.2
からあげ２個,123,10.1,6.8,5.2
からあげ６個,368,30.4,20.5,15.5
ベーコン 単品,100,5.1,8.8,0
ソーセージ 単品,124,6.9,9.9,2.2
ささみチキン 単品,85,16.1,1.4,2.1
鮭,153,13.9,10.5,0.7
塩サバ,165,9.7,13.9,0.1
山かけ,48,1.4,0,10.6
かつぶしオクラ,30,2.4,0.1,5.9
キムチ単品,30,1.6,0.4,5
ひじき煮（えだまめ）,32,1.9,1.3,4.1
フライドにんにく 単品,43,2,0.6,7.2
青ねぎ,1,0.1,0,0.2
冷やっこ,88,8.7,4.7,3
納豆,84,7,4.3,5.8
味付のり,3,0.6,0.1,0.6
コチュジャンだれ,19,0.4,0.7,2.7
とろ～り3種チーズ,165,10.3,12.5,3.3
すき家特製マヨネーズ,110,0.3,12.1,0.1
鬼おろしポン酢 単品,26,1,0.1,4.6
ごまドレッシングボトル,54,0.5,5,1.7
高菜明太マヨ,97,1.8,8.7,4.2
高菜,29,1.2,2,2.9
明太マヨ,68,0.6,6.7,1.3
牛カルビ焼肉皿 単品,447,15.7,34.3,14.9
牛カルビ焼肉皿 単品２倍盛,891,31.2,68.3,29.8
めかぶオクラ 単品,22,2,0.3,4.7
たっぷりめかぶ 単品,17,1.7,0.4,3.4
生姜ソース 単品,37,0.4,2.9,2.4
りんごジュース,78,0.2,0.4,21.4
ぶどうジュース,92,0.6,0.6,24
アサヒスーパードライ（中瓶）,210,2,0,15
ノンアルコールビール,0,0,0,0
コカ・コーラM,99,0,0,24.8
コカ・コーラL,133,0,0,33.5
ミニッツメイドオレンジM,108,0.5,0.2,24.6
ミニッツメイドオレンジL,146,0.6,0.3,33.2
ファンタメロンM,110,0,0,27.6
ファンタメロンL,149,0,0,37.2
カルピスM,122,0.5,0.2,29.9
カルピスL,164,0.6,0.3,40.3
爽健美茶,0,0,0,0
緑茶,0,0.5,0,0
黒鳥龍茶,5,0.5,0,0.5
ホットコーヒー（砂糖・ミルクを除く）,7,0.4,0,1.2
アイスコーヒー（砂糖・ミルクを除く）M,4,0.2,0,0.8
アイスコーヒー（砂糖・ミルクを除く）L,6,0.3,0,1
トロピカルティーエード,167,0.1,0.1,40.9
Sukiシェイク バニラS,175,3.1,6,27.2
Sukiシェイク バニラM,250,4.4,8.6,38.8
Sukiシェイク バニラL,338,5.9,11.6,52.4
Sukiシェイク 宇治抹茶S,198,3.7,6.6,31.3
Sukiシェイク 宇治抹茶M,281,5.3,9.4,44.2
Sukiシェイク 宇治抹茶L,384,7.2,12.7,60.7
Sukiシェイク ラムネS,222,3.5,6.5,37.7
Sukiシェイク ラムネM,306,5,9.2,51.1
Sukiシェイク ラムネL,411,6.8,12.5,68.5
Sukiシェイク マンゴーS,197,3.6,6.5,30.9
Sukiシェイク マンゴーM,279,5.1,9.3,43.7
Sukiシェイク マンゴーL,381,6.9,12.6,60
ベルギーチョコTP,25,0.2,0.8,4.2
スティックシュガー,12,0,0,3
ガムシロップ,37,0,0,9.2
コーヒーフレッシュ,11,0.2,1,0.2
カットりんご,19,0.1,0,5.1
なめらかカラメルぷりん,189,3.6,13.3,13.7
とろけるダブルショコラ,193,3.6,12.5,17.6
